"LeadDate","LeadCount"
"15/04/2022",30
"16/04/2022",33
"17/04/2022",38
"18/04/2022",50
"19/04/2022",52
"20/04/2022",56
"21/04/2022",46
"22/04/2022",82
"23/04/2022",37
"24/04/2022",47
"25/04/2022",64
"26/04/2022",60
"27/04/2022",45
"28/04/2022",39
"29/04/2022",36
"30/04/2022",36
"01/05/2022",23
"02/05/2022",36
"03/05/2022",39
"04/05/2022",34
"05/05/2022",52
"06/05/2022",54
"07/05/2022",23
"08/05/2022",34
"09/05/2022",55
"10/05/2022",43
"11/05/2022",53
"12/05/2022",73
"13/05/2022",43
"14/05/2022",38
"15/05/2022",31
"16/05/2022",65
"17/05/2022",55
"18/05/2022",57
"19/05/2022",58
"20/05/2022",48
"21/05/2022",36
"22/05/2022",36
"23/05/2022",46
"24/05/2022",62
"25/05/2022",59
"26/05/2022",56
"27/05/2022",122
"28/05/2022",24
"29/05/2022",32
"30/05/2022",48
"31/05/2022",47
"01/06/2022",70
"02/06/2022",56
"03/06/2022",47
"04/06/2022",38
"05/06/2022",26
"06/06/2022",39
"07/06/2022",60
"08/06/2022",56
"09/06/2022",50
"10/06/2022",37
"11/06/2022",27
"12/06/2022",31
"13/06/2022",49
"14/06/2022",57
"15/06/2022",52
"16/06/2022",28
"17/06/2022",41
"18/06/2022",28
"19/06/2022",19
"20/06/2022",36
"21/06/2022",45
"22/06/2022",28
"23/06/2022",38
"24/06/2022",44
"25/06/2022",31
"26/06/2022",34
"27/06/2022",57
"28/06/2022",55
"29/06/2022",43
"30/06/2022",61
"01/07/2022",40
"02/07/2022",38
"03/07/2022",23
"04/07/2022",57
"05/07/2022",46
"06/07/2022",60
"07/07/2022",62
"08/07/2022",46
"09/07/2022",40
"10/07/2022",26
"11/07/2022",70
"12/07/2022",59
"13/07/2022",69
"14/07/2022",57
"15/07/2022",43
"16/07/2022",29
"17/07/2022",27
"18/07/2022",45
"19/07/2022",92
"20/07/2022",85
"21/07/2022",70
"22/07/2022",53
"23/07/2022",35
"24/07/2022",37
"25/07/2022",74
"26/07/2022",77
"27/07/2022",59
"28/07/2022",64
"29/07/2022",58
"30/07/2022",44
"31/07/2022",60
"01/08/2022",78
"02/08/2022",54
"03/08/2022",56
"04/08/2022",51
"05/08/2022",57
"06/08/2022",40
"07/08/2022",36
"08/08/2022",78
"09/08/2022",57
"10/08/2022",59
"11/08/2022",55
"12/08/2022",52
"13/08/2022",33
"14/08/2022",33
"15/08/2022",49
"16/08/2022",55
"17/08/2022",64
"18/08/2022",70
"19/08/2022",59
"20/08/2022",31
"21/08/2022",28
"22/08/2022",46
"23/08/2022",57
"24/08/2022",100
"25/08/2022",66
"26/08/2022",43
"27/08/2022",49
"28/08/2022",38
"29/08/2022",64
"30/08/2022",47
"31/08/2022",70
"01/09/2022",61
"02/09/2022",59
"03/09/2022",34
"04/09/2022",29
"05/09/2022",46
"06/09/2022",70
"07/09/2022",38
"08/09/2022",70
"09/09/2022",55
"10/09/2022",31
"11/09/2022",27
"12/09/2022",74
"13/09/2022",76
"14/09/2022",76
"15/09/2022",65
"16/09/2022",70
"17/09/2022",39
"18/09/2022",38
"19/09/2022",76
"20/09/2022",81
"21/09/2022",68
"22/09/2022",70
"23/09/2022",68
"24/09/2022",40
"25/09/2022",34
"26/09/2022",80
"27/09/2022",65
"28/09/2022",52
"29/09/2022",72
"30/09/2022",47
"01/10/2022",27
"02/10/2022",17
"03/10/2022",53
"04/10/2022",36
"05/10/2022",49
"06/10/2022",41
"07/10/2022",34
"08/10/2022",26
"09/10/2022",30
"10/10/2022",54
"11/10/2022",42
"12/10/2022",24
"13/10/2022",48
"14/10/2022",48
"15/10/2022",13
"16/10/2022",20
"17/10/2022",47
"18/10/2022",65
"19/10/2022",63
"20/10/2022",59
"21/10/2022",83
"22/10/2022",36
"23/10/2022",35
"24/10/2022",75
"25/10/2022",63
"26/10/2022",61
"27/10/2022",65
"28/10/2022",47
"29/10/2022",40
"30/10/2022",27
"31/10/2022",38
"01/11/2022",64
"02/11/2022",54
"03/11/2022",79
"04/11/2022",65
"05/11/2022",47
"06/11/2022",37
"07/11/2022",73
"08/11/2022",85
"09/11/2022",64
"10/11/2022",59
"11/11/2022",67
"12/11/2022",43
"13/11/2022",38
"14/11/2022",57
"15/11/2022",40
"16/11/2022",62
"17/11/2022",48
"18/11/2022",53
"19/11/2022",38
"20/11/2022",27
"21/11/2022",51
"22/11/2022",61
"23/11/2022",61
"24/11/2022",42
"25/11/2022",40
"26/11/2022",30
"27/11/2022",24
"28/11/2022",48
"29/11/2022",54
"30/11/2022",50
"01/12/2022",40
"02/12/2022",35
"03/12/2022",36
"04/12/2022",22
"05/12/2022",46
"06/12/2022",63
"07/12/2022",60
"08/12/2022",65
"09/12/2022",28
"10/12/2022",38
"11/12/2022",43
"12/12/2022",53
"13/12/2022",54
"14/12/2022",49
"15/12/2022",64
"16/12/2022",55
"17/12/2022",43
"18/12/2022",24
"19/12/2022",51
"20/12/2022",49
"21/12/2022",65
"22/12/2022",78
"23/12/2022",38
"24/12/2022",25
"25/12/2022",30
"26/12/2022",44
"27/12/2022",60
"28/12/2022",59
